gap_nm,gap_gap_nm,G_best_final,G1_best,G2_best,real_g_best,imag_g_best,E_max,(abs(g1)+abs(g2))*gap,abs(g1+g2)*gap
40,100,0.581135,0.253118,0.332960,-0.580488,-0.027405,4.791654,23.443130,23.245389
40,300,0.573313,0.149310,0.424022,0.363131,-0.443648,9.406324,22.933290,22.932518
40,500,0.256934,0.058899,0.198105,0.086012,0.242110,2.680249,10.280162,10.277363
40,700,0.000000,0.000000,0.000000,-0.000000,-0.000000,1.000029,0.000000,0.000000
40,900,0.068906,0.019096,0.055580,-0.012749,0.067716,2.286900,2.987052,2.756240
80,100,1.356786,0.638084,0.723535,1.315744,0.331189,6.736917,108.929535,108.542860
80,300,1.204637,0.586639,0.618967,1.168939,0.291087,4.226168,96.448544,96.370967
80,500,1.243395,0.690518,0.552961,1.208404,0.292902,5.117991,99.478278,99.471630
80,700,1.909074,1.077050,0.844421,1.829090,0.546804,11.724941,153.717703,152.725948
80,900,2.169834,1.123140,1.046757,2.098192,0.552963,11.012907,173.591734,173.586692
120,100,1.211812,0.570498,0.643961,1.186510,0.246339,5.459732,145.735049,145.417424
120,300,1.540552,0.743359,0.798205,1.505100,0.328595,5.498280,184.987672,184.866234
120,500,1.188431,0.660894,0.527651,1.160477,0.256243,4.996521,142.625409,142.611691
120,700,1.138819,0.483013,0.661818,1.124405,0.180613,5.235812,137.379745,136.658283
120,900,1.156542,0.515806,0.646138,1.137250,0.210357,3.381523,139.433262,138.784995
160,100,1.196460,0.569119,0.628792,1.171301,0.244072,4.154198,191.665847,191.433667
160,300,1.372003,0.704087,0.668936,1.341478,0.287801,5.459174,219.683670,219.520558
160,500,1.150719,0.628621,0.522403,1.130623,0.214119,4.249615,184.163825,184.115085
160,700,1.026186,0.472844,0.555183,1.017951,0.129746,3.626277,164.484328,164.189836
160,900,1.071715,0.485996,0.592002,1.057253,0.175468,3.480932,172.479763,171.474372
200,100,1.401039,0.765898,0.635251,1.381559,0.232820,7.351585,280.229723,280.207814
200,300,1.261356,0.671152,0.591130,1.240307,0.229474,5.598615,252.456378,252.271184
200,500,1.077177,0.580497,0.496845,1.060449,0.189102,3.613294,215.468464,215.435490
200,700,0.947254,0.467194,0.481345,0.939279,0.122657,3.813342,189.707727,189.450859
200,900,1.496247,0.800466,0.708296,1.425732,0.453921,9.137049,301.752488,299.249475
240,100,1.290907,0.710695,0.580306,1.284738,0.126045,6.974763,309.840251,309.817580
240,300,1.154817,0.642326,0.512753,1.136225,0.206385,5.562706,277.218815,277.156002
240,500,0.960880,0.514811,0.446649,0.950950,0.137783,5.049563,230.750293,230.611231
240,700,0.856865,0.404109,0.454399,0.848200,0.121550,3.844477,206.041935,205.647544
240,900,1.393085,0.756185,0.642552,1.356291,0.318059,8.292603,335.696849,334.340501
280,100,1.186615,0.653602,0.533138,1.181016,0.115135,7.430743,332.287324,332.252217
280,300,1.031744,0.587556,0.444260,1.020334,0.153016,5.189815,288.908509,288.888366
280,500,0.843033,0.443790,0.400254,0.838729,0.085078,4.067033,236.332209,236.049178
280,700,0.800161,0.336504,0.467897,0.790165,0.126078,4.083724,225.232409,224.044955
280,900,1.272064,0.691867,0.583458,1.248412,0.244164,8.823056,357.091028,356.177993
320,100,1.081911,0.594899,0.487083,1.078092,0.090829,7.335709,346.234385,346.211604
320,300,0.901393,0.518287,0.383293,0.892485,0.126411,4.853516,288.505803,288.445748
320,500,0.732034,0.377626,0.355150,0.727336,0.082803,4.200614,234.488203,234.250934
320,700,1.263162,0.689631,0.582667,1.235549,0.262675,9.742073,407.135452,404.211858
320,900,1.183576,0.654032,0.530625,1.165634,0.205303,8.707154,379.090138,378.744321
360,100,0.966259,0.539688,0.426577,0.963278,0.075845,7.252222,347.855120,347.853268
360,300,0.772466,0.430276,0.342230,0.767995,0.082994,4.734690,278.102226,278.087827
360,500,0.625712,0.310835,0.315885,0.622003,0.068022,4.233614,225.619299,225.256212
360,700,1.202423,0.664564,0.539233,1.177447,0.243801,10.246095,433.366883,432.872159
360,900,1.063353,0.599046,0.465410,1.046039,0.191106,9.132934,383.204081,382.807007
400,100,0.844657,0.482333,0.362367,0.842573,0.059302,6.884228,337.879831,337.862907
400,300,0.653406,0.359573,0.293839,0.650344,0.063182,4.516452,261.365046,261.362429
400,500,0.541097,0.257483,0.284910,0.535854,0.075142,4.228209,216.957125,216.438796
400,700,1.088985,0.601702,0.487962,1.078891,0.147930,10.644566,435.865445,435.593993
400,900,0.914548,0.521494,0.394509,0.906041,0.124449,8.263014,366.401183,365.819148
440,100,0.717270,0.410154,0.307123,0.716905,0.022887,6.019081,315.601715,315.598865
440,300,0.548487,0.297774,0.250713,0.546092,0.051198,4.589244,241.334282,241.334276
440,500,0.757255,0.358567,0.399733,0.752588,0.083950,8.658420,333.652323,333.192341
440,700,0.963321,0.531665,0.431827,0.959209,0.088917,10.790975,423.936272,423.861458
440,900,0.791518,0.454444,0.339058,0.783212,0.114366,8.251873,349.141164,348.267854
480,100,0.599064,0.337632,0.261471,0.598714,0.020478,5.109046,287.569643,287.550917
480,300,0.456556,0.252414,0.204153,0.454936,0.038425,4.603118,219.152224,219.146703
480,500,0.878749,0.475431,0.405542,0.868457,0.134099,9.922392,422.866994,421.799407
480,700,0.844565,0.467421,0.377861,0.839019,0.096625,10.515794,405.735713,405.391046
480,900,0.670081,0.385556,0.286263,0.663473,0.093870,7.619740,322.473000,321.638833
520,100,0.498285,0.278493,0.219792,0.497344,0.030604,4.783781,259.108496,259.108112
520,300,0.394232,0.218289,0.176023,0.390195,0.056275,4.712942,205.042627,205.000878
520,500,0.783192,0.431957,0.353821,0.771769,0.133278,10.068238,408.604566,407.260036
520,700,0.742142,0.423084,0.319731,0.734058,0.109237,10.263473,386.263668,385.913695
520,900,0.561163,0.309744,0.252430,0.557378,0.065061,6.448729,292.330141,291.804563
560,100,0.411702,0.229985,0.181722,0.411089,0.022452,4.788650,230.555584,230.553172
560,300,0.569381,0.372518,0.196896,0.557119,0.117530,9.195760,318.871790,318.853494
560,500,0.693934,0.382501,0.312827,0.682640,0.124684,9.686931,389.383380,388.602885
560,700,0.612670,0.352230,0.262441,0.606899,0.083892,9.157074,344.215515,343.095274
560,900,0.468878,0.259805,0.209745,0.465732,0.054232,5.786041,262.948050,262.571898
600,100,0.339966,0.190868,0.149125,0.339741,0.012374,4.763210,203.995989,203.979576
600,300,0.511053,0.316269,0.194999,0.486396,0.156826,9.109467,306.760634,306.631832
600,500,0.606142,0.336797,0.270969,0.601273,0.076675,9.640927,364.659381,363.685049
600,700,0.502341,0.284894,0.220714,0.498996,0.057867,7.892483,303.365023,301.404378
600,900,0.387552,0.213870,0.174188,0.383933,0.052841,5.175296,232.834862,232.531122
640,100,0.336139,0.194515,0.141893,0.323235,0.092243,5.974152,215.301052,215.129166
640,300,0.385771,0.229855,0.156111,0.381609,0.056520,7.532625,247.018061,246.893682
640,500,0.528508,0.297298,0.232170,0.522562,0.079051,8.875414,338.859728,338.244976
640,700,0.420015,0.232050,0.189419,0.416449,0.054619,6.818188,269.740107,268.809584
640,900,0.318909,0.178479,0.140959,0.316065,0.042492,4.660547,204.440752,204.101635
680,100,0.465369,0.307729,0.158059,0.453265,0.105446,10.589802,316.735916,316.450784
680,300,0.359059,0.210727,0.148725,0.352728,0.067131,7.581736,244.427516,244.160319
680,500,0.453914,0.257131,0.197747,0.448411,0.070465,8.800659,309.316638,308.661652
680,700,0.344536,0.187788,0.157875,0.341955,0.042093,6.033321,235.050613,234.284584
680,900,0.263854,0.147715,0.116578,0.260416,0.042454,4.579671,179.719000,179.420624
720,100,0.384497,0.247427,0.138010,0.375136,0.084329,10.133306,277.514440,276.838100
720,300,0.337925,0.200504,0.137831,0.326916,0.085551,7.348328,243.601110,243.305766
720,500,0.374192,0.210159,0.165015,0.372078,0.039720,7.911534,270.125395,269.418109
720,700,0.282089,0.155566,0.127172,0.281016,0.024580,5.145688,203.571333,203.103979
720,900,0.220224,0.121211,0.099230,0.216345,0.041154,4.418252,158.717157,158.561319
760,100,0.305144,0.179937,0.126023,0.298569,0.063006,8.120995,232.529404,231.909587
760,300,0.293716,0.172414,0.121342,0.284085,0.074598,6.114504,223.255043,223.224227
760,500,0.311785,0.173015,0.139661,0.308978,0.041744,6.712339,237.633375,236.956438
760,700,0.231227,0.128132,0.103527,0.229541,0.027869,4.501657,176.060679,175.732374
760,900,0.248971,0.153512,0.095637,0.226817,0.102667,6.379187,189.353667,189.218149
800,100,0.224408,0.130479,0.094107,0.224164,-0.010457,6.342071,179.668571,179.526469
800,300,0.247327,0.140782,0.106569,0.240815,0.056377,4.528387,197.881495,197.861208
800,500,0.255115,0.141129,0.114599,0.253277,0.030570,5.831297,204.582147,204.092310
800,700,0.191838,0.107873,0.084258,0.189370,0.030676,4.519867,153.704990,153.470670
800,900,0.240266,0.154986,0.085995,0.222183,0.091448,7.033848,192.784887,192.213055
840,100,0.224612,0.138425,0.086302,0.222853,0.028050,7.340777,188.770520,188.673872
840,300,0.210870,0.114716,0.096353,0.206458,0.042909,4.151120,177.297248,177.130946
840,500,0.209311,0.116581,0.093168,0.206701,0.032954,5.245005,176.189096,175.821585
840,700,0.164001,0.093909,0.070197,0.160348,0.034424,4.296120,137.848716,137.760892
840,900,0.168245,0.108566,0.059995,0.167954,0.009886,5.722424,141.591364,141.325948
