gap_nm,G_best,abs(g)*gap,E_max
40,0.041874,1.674968,2.368803
80,0.681530,54.522384,3.166999
120,0.623500,74.820031,3.159068
160,0.584699,93.551816,3.409076
200,0.537734,107.546731,3.477456
240,0.488308,117.193982,3.648275
280,0.443024,124.046626,3.915730
320,0.395781,126.649978,3.984740
360,0.354097,127.474805,4.161489
400,0.311832,124.732620,4.199911
440,0.276271,121.559111,4.279930
480,0.244409,117.316497,4.279039
520,0.219284,114.027688,4.410541
560,0.201666,112.932790,4.571526
600,0.194164,116.498179,5.096801
640,0.177570,113.645023,5.236253
680,0.152974,104.022567,4.791326
720,0.136967,98.616390,4.965682
760,0.126948,96.480461,5.087439
800,0.116944,93.555427,5.132498
840,0.108048,90.760232,4.894870
880,0.100283,88.249061,4.882364
920,0.088695,81.599653,4.491725
960,0.081186,77.938485,4.645365
1000,0.067343,67.343145,3.757492
